"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,08;0,0013333333;1731490809,512;5;0,35;1,75;0;0;0
1;0,381;0,00635;1731490809,808;5;0,35;1,75;0;0;0
2;0,681;0,01135;1731490810,107;5;0,35;1,75;0;0;0
3;0,98;0,0163333333;1731490810,409;5;0,35;1,75;0;0;0
4;1,28;0,0213333333;1731490810,709;5;0,35;1,75;0;0;0
5;1,58;0,0263333333;1731490811,009;5;0,36;1,8;0;0;0
6;1,894;0,0315666667;1731490811,322;5;0,35;1,75;0;0;0
7;2,181;0,03635;1731490811,612;5;0,35;1,75;0;0;0
8;2,481;0,04135;1731490811,915;5;0,35;1,75;0;0;0
9;2,782;0,0463666667;1731490812,21;5;0,35;1,75;0;0;0
10;3,082;0,0513666667;1731490812,512;5;0,35;1,75;0;0;0
11;3,381;0,05635;1731490812,805;5;0,35;1,75;0;0;0
12;3,68;0,0613333333;1731490813,111;5;0,35;1,75;0;0;0
13;3,98;0,0663333333;1731490813,412;5;0,35;1,75;0;0;0
14;4,281;0,07135;1731490813,711;5;0,35;1,75;0;0;0
15;4,58;0,0763333333;1731490814,01;5;0,35;1,75;0;0;0
16;4,88;0,0813333333;1731490814,309;5;0,35;1,75;0;0;0
17;5,181;0,08635;1731490814,61;5;0,35;1,75;0;0;0
18;5,481;0,09135;1731490814,913;5;0,35;1,75;0;0;0
19;5,78;0,0963333333;1731490815,209;5;0,35;1,75;0;0;0
20;6,08;0,1013333333;1731490815,506;5;0,35;1,75;0;0;0
21;6,381;0,10635;1731490815,811;5;0,35;1,75;0;0;0
22;6,68;0,1113333333;1731490816,11;5;0,57;2,85;0;0;0
23;6,98;0,1163333333;1731490816,404;5;0,57;2,85;0;0;0
24;7,28;0,1213333333;1731490816,71;5;0,57;2,85;0;0;0
25;7,586;0,1264333333;1731490817,014;5;0,57;2,85;0;0;0
26;7,88;0,1313333333;1731490817,312;5;0,57;2,85;0;0;0
27;8,18;0,1363333333;1731490817,611;5;0,57;2,85;0;0;0
28;8,48;0,1413333333;1731490817,91;5;0,57;2,85;0;0;0
29;8,781;0,14635;1731490818,208;5;0,57;2,85;0;0;0
30;9,08;0,1513333333;1731490818,513;5;0,57;2,85;0;0;0
31;9,38;0,1563333333;1731490818,813;5;0,57;2,85;0;0;0
32;9,68;0,1613333333;1731490819,111;5;0,57;2,85;0;0;0
33;9,981;0,16635;1731490819,412;5;0,57;2,85;0;0;0
34;10,282;0,1713666667;1731490819,714;5;0,57;2,85;0;0;0
35;10,581;0,17635;1731490820,011;5;0,57;2,85;0;0;0
36;10,881;0,18135;1731490820,309;5;0,57;2,85;0;0;0
37;11,181;0,18635;1731490820,612;5;0,57;2,85;0;0;0
38;11,481;0,19135;1731490820,911;5;0,57;2,85;0;0;0
39;11,786;0,1964333333;1731490821,216;5;0,57;2,85;0;0;0
40;12,08;0,2013333333;1731490821,511;5;0,57;2,85;0;0;0
41;12,381;0,20635;1731490821,809;5;0,57;2,85;0;0;0
42;12,686;0,2114333333;1731490822,114;5;0,57;2,85;0;0;0
43;12,98;0,2163333333;1731490822,407;5;0,57;2,85;0;0;0
44;13,281;0,22135;1731490822,707;5;0,57;2,85;0;0;0
45;13,58;0,2263333333;1731490823,01;5;0,57;2,85;0;0;0
46;13,88;0,2313333333;1731490823,309;5;0,57;2,85;0;0;0
47;14,18;0,2363333333;1731490823,603;5;0,57;2,85;0;0;0
48;14,481;0,24135;1731490823,909;5;0,57;2,85;0;0;0
49;14,784;0,2464;1731490824,213;5;0,57;2,85;0;0;0
50;15,08;0,2513333333;1731490824,507;5;0,57;2,85;0;0;0
51;15,381;0,25635;1731490824,811;5;0,57;2,85;0;0;0
52;15,68;0,2613333333;1731490825,109;5;0,57;2,85;0;0;0
53;15,981;0,26635;1731490825,407;5;0,57;2,85;0;0;0
54;16,281;0,27135;1731490825,707;5;0,57;2,85;0;0;0
55;16,581;0,27635;1731490826,009;5;0,57;2,85;0;0;0
56;16,881;0,28135;1731490826,307;5;0,57;2,85;0;0;0
57;17,18;0,2863333333;1731490826,606;5;0,57;2,85;0;0;0
58;17,481;0,29135;1731490826,91;5;0,57;2,85;0;0;0
59;17,785;0,2964166667;1731490827,211;5;0,57;2,85;0;0;0
60;18,08;0,3013333333;1731490827,509;5;0,57;2,85;0;0;0
61;18,381;0,30635;1731490827,81;5;0,57;2,85;0;0;0
62;18,685;0,3114166667;1731490828,116;5;0,57;2,85;0;0;0
63;18,981;0,31635;1731490828,408;5;0,57;2,85;0;0;0
64;19,283;0,3213833333;1731490828,715;5;0,57;2,85;0;0;0
65;19,581;0,32635;1731490829,01;5;0,57;2,85;0;0;0
66;19,881;0,33135;1731490829,31;5;0,57;2,85;0;0;0
67;20,195;0,3365833333;1731490829,627;5;0,54;2,7;0;0;0
68;20,48;0,3413333333;1731490829,912;5;0,44;2,2;0;0;0
69;20,781;0,34635;1731490830,21;5;0,44;2,2;0;0;0
70;21,084;0,3514;1731490830,512;5;0,44;2,2;0;0;0
71;21,392;0,3565333333;1731490830,823;5;0,44;2,2;0;0;0
72;21,681;0,36135;1731490831,108;5;0,44;2,2;0;0;0
73;21,984;0,3664;1731490831,415;5;0,44;2,2;0;0;0
74;22,281;0,37135;1731490831,71;5;0,44;2,2;0;0;0
75;22,584;0,3764;1731490832,012;5;0,44;2,2;0;0;0
76;22,881;0,38135;1731490832,312;5;0,44;2,2;0;0;0
77;23,181;0,38635;1731490832,61;5;0,44;2,2;0;0;0
78;23,494;0,3915666667;1731490832,922;5;0,44;2,2;0;0;0
79;23,78;0,3963333333;1731490833,21;5;0,44;2,2;0;0;0
80;24,084;0,4014;1731490833,517;5;0,44;2,2;0;0;0
81;24,38;0,4063333333;1731490833,809;5;0,44;2,2;0;0;0
82;24,68;0,4113333333;1731490834,112;5;0,44;2,2;0;0;0
83;24,994;0,4165666667;1731490834,423;5;0,44;2,2;0;0;0
84;25,281;0,42135;1731490834,709;5;0,44;2,2;0;0;0
85;25,581;0,42635;1731490835,009;5;0,46;2,3;0;0;0
86;25,881;0,43135;1731490835,315;5;0,44;2,2;0;0;0
87;26,181;0,43635;1731490835,61;5;0,44;2,2;0;0;0
88;26,481;0,44135;1731490835,91;5;0,44;2,2;0;0;0
89;26,78;0,4463333333;1731490836,21;5;0,44;2,2;0;0;0
90;27,087;0,45145;1731490836,518;5;0,36;1,8;0;0;0
91;27,38;0,4563333333;1731490836,812;5;0,36;1,8;0;0;0
92;27,681;0,46135;1731490837,112;5;0,36;1,8;0;0;0
93;27,981;0,46635;1731490837,412;5;0,36;1,8;0;0;0
94;28,28;0,4713333333;1731490837,713;5;0,36;1,8;0;0;0
95;28,582;0,4763666667;1731490838,012;5;0,36;1,8;0;0;0
96;28,88;0,4813333333;1731490838,314;5;0,36;1,8;0;0;0
97;29,181;0,48635;1731490838,609;5;0,36;1,8;0;0;0
98;29,481;0,49135;1731490838,909;5;0,36;1,8;0;0;0
99;29,787;0,49645;1731490839,217;5;0,36;1,8;0;0;0
100;30,081;0,50135;1731490839,511;5;0,36;1,8;0;0;0
101;30,392;0,5065333333;1731490839,82;5;0,48;2,4;0;0;0
102;30,681;0,51135;1731490840,111;5;0,57;2,85;0;0;0
103;30,98;0,5163333333;1731490840,411;5;0,57;2,85;0;0;0
104;31,281;0,52135;1731490840,709;5;0,57;2,85;0;0;0
105;31,581;0,52635;1731490841,008;5;0,57;2,85;0;0;0
106;31,884;0,5314;1731490841,312;5;0,57;2,85;0;0;0
107;32,18;0,5363333333;1731490841,612;5;0,57;2,85;0;0;0
108;32,495;0,5415833333;1731490841,917;5;0,57;2,85;0;0;0
109;32,781;0,54635;1731490842,21;5;0,57;2,85;0;0;0
110;33,08;0,5513333333;1731490842,508;5;0,57;2,85;0;0;0
111;33,385;0,5564166667;1731490842,812;5;0,57;2,85;0;0;0
112;33,68;0,5613333333;1731490843,111;5;0,57;2,85;0;0;0
113;33,994;0,5665666667;1731490843,423;5;0,57;2,85;0;0;0
114;34,281;0,57135;1731490843,708;5;0,57;2,85;0;0;0
115;34,581;0,57635;1731490844,013;5;0,57;2,85;0;0;0
116;34,881;0,58135;1731490844,309;5;0,57;2,85;0;0;0
117;35,181;0,58635;1731490844,609;5;0,57;2,85;0;0;0
118;35,48;0,5913333333;1731490844,911;5;0,58;2,9;0;0;0
119;35,781;0,59635;1731490845,209;5;0,57;2,85;0;0;0
120;36,08;0,6013333333;1731490845,505;5;0,57;2,85;0;0;0
121;36,381;0,60635;1731490845,813;5;0,57;2,85;0;0;0
122;36,681;0,61135;1731490846,111;5;0,57;2,85;0;0;0
123;36,982;0,6163666667;1731490846,414;5;0,57;2,85;0;0;0
124;37,28;0,6213333333;1731490846,714;5;0,57;2,85;0;0;0
125;37,581;0,62635;1731490847,013;5;0,58;2,9;0;0;0
126;37,88;0,6313333333;1731490847,311;5;0,57;2,85;0;0;0
127;38,181;0,63635;1731490847,61;5;0,57;2,85;0;0;0
128;38,484;0,6414;1731490847,912;5;0,58;2,9;0;0;0
129;38,781;0,64635;1731490848,211;5;0,58;2,9;0;0;0
130;39,081;0,65135;1731490848,512;5;0,57;2,85;0;0;0
131;39,38;0,6563333333;1731490848,808;5;0,57;2,85;0;0;0
132;39,681;0,66135;1731490849,11;5;0,57;2,85;0;0;0
133;39,98;0,6663333333;1731490849,411;5;0,57;2,85;0;0;0
134;40,295;0,6715833333;1731490849,725;5;0,57;2,85;0;0;0
135;40,581;0,67635;1731490850,01;5;0,57;2,85;0;0;0
136;40,881;0,68135;1731490850,311;5;0,57;2,85;0;0;0
137;41,187;0,68645;1731490850,619;5;0,57;2,85;0;0;0
138;41,481;0,69135;1731490850,911;5;0,57;2,85;0;0;0
139;41,78;0,6963333333;1731490851,213;5;0,57;2,85;0;0;0
140;42,081;0,70135;1731490851,514;5;0,58;2,9;0;0;0
141;42,38;0,7063333333;1731490851,811;5;0,57;2,85;0;0;0
142;42,681;0,71135;1731490852,11;5;0,58;2,9;0;0;0
143;42,981;0,71635;1731490852,408;5;0,57;2,85;0;0;0
144;43,281;0,72135;1731490852,708;5;0,57;2,85;0;0;0
145;43,58;0,7263333333;1731490853,009;5;0,57;2,85;0;0;0
146;43,88;0,7313333333;1731490853,309;5;0,57;2,85;0;0;0
147;44,18;0,7363333333;1731490853,609;5;0,44;2,2;0;0;0
148;44,481;0,74135;1731490853,911;5;0,44;2,2;0;0;0
149;44,78;0,7463333333;1731490854,207;5;0,44;2,2;0;0;0
150;45,081;0,75135;1731490854,509;5;0,44;2,2;0;0;0
151;45,38;0,7563333333;1731490854,807;5;0,44;2,2;0;0;0
152;45,681;0,76135;1731490855,113;5;0,44;2,2;0;0;0
153;45,98;0,7663333333;1731490855,407;5;0,44;2,2;0;0;0
154;46,28;0,7713333333;1731490855,707;5;0,44;2,2;0;0;0
155;46,58;0,7763333333;1731490856,012;5;0,44;2,2;0;0;0
156;46,88;0,7813333333;1731490856,309;5;0,44;2,2;0;0;0
157;47,181;0,78635;1731490856,61;5;0,44;2,2;0;0;0
158;47,493;0,79155;1731490856,923;5;0,44;2,2;0;0;0
159;47,781;0,79635;1731490857,208;5;0,44;2,2;0;0;0
160;48,08;0,8013333333;1731490857,51;5;0,44;2,2;0;0;0
161;48,381;0,80635;1731490857,812;5;0,44;2,2;0;0;0
162;48,681;0,81135;1731490858,11;5;0,44;2,2;0;0;0
163;48,987;0,81645;1731490858,415;5;0,44;2,2;0;0;0
164;49,28;0,8213333333;1731490858,708;5;0,44;2,2;0;0;0
165;49,581;0,82635;1731490859,012;5;0,44;2,2;0;0;0
166;49,881;0,83135;1731490859,312;5;0,44;2,2;0;0;0
167;50,195;0,8365833333;1731490859,623;5;0,44;2,2;0;0;0
168;50,49;0,8415;1731490859,917;5;0,44;2,2;0;0;0
169;50,781;0,84635;1731490860,212;5;0,4;2;0;0;0
170;51,08;0,8513333333;1731490860,51;5;0,36;1,8;0;0;0
171;51,381;0,85635;1731490860,813;5;0,36;1,8;0;0;0
172;51,681;0,86135;1731490861,109;5;0,36;1,8;0;0;0
173;51,981;0,86635;1731490861,414;5;0,36;1,8;0;0;0
174;52,28;0,8713333333;1731490861,71;5;0,36;1,8;0;0;0
175;52,581;0,87635;1731490862,009;5;0,36;1,8;0;0;0
176;52,881;0,88135;1731490862,314;5;0,36;1,8;0;0;0
177;53,18;0,8863333333;1731490862,612;5;0,36;1,8;0;0;0
178;53,48;0,8913333333;1731490862,912;5;0,36;1,8;0;0;0
179;53,781;0,89635;1731490863,208;5;0,36;1,8;0;0;0
180;54,081;0,90135;1731490863,51;5;0,36;1,8;0;0;0
181;54,381;0,90635;1731490863,813;5;0,57;2,85;0;0;0
182;54,686;0,9114333333;1731490864,115;5;0,57;2,85;0;0;0
183;54,98;0,9163333333;1731490864,409;5;0,57;2,85;0;0;0
184;55,281;0,92135;1731490864,715;5;0,57;2,85;0;0;0
185;55,581;0,92635;1731490865,01;5;0,57;2,85;0;0;0
186;55,88;0,9313333333;1731490865,313;5;0,57;2,85;0;0;0
187;56,18;0,9363333333;1731490865,611;5;0,57;2,85;0;0;0
188;56,48;0,9413333333;1731490865,909;5;0,57;2,85;0;0;0
189;56,78;0,9463333333;1731490866,207;5;0,58;2,9;0;0;0
190;57,081;0,95135;1731490866,51;5;0,58;2,9;0;0;0
191;57,381;0,95635;1731490866,809;5;0,58;2,9;0;0;0
192;57,681;0,96135;1731490867,11;5;0,58;2,9;0;0;0
193;57,982;0,9663666667;1731490867,413;5;0,58;2,9;0;0;0
194;58,281;0,97135;1731490867,709;5;0,57;2,85;0;0;0
195;58,581;0,97635;1731490868,011;5;0,57;2,85;0;0;0
196;58,894;0,9815666667;1731490868,323;5;0,57;2,85;0;0;0
197;59,189;0,9864833333;1731490868,617;5;0,57;2,85;0;0;0
198;59,48;0,9913333333;1731490868,912;5;0,58;2,9;0;0;0
199;59,788;0,9964666667;1731490869,217;5;0,57;2,85;0;0;0
200;60,08;1,0013333333;1731490869,51;5;0,57;2,85;0;0;0
201;60,381;1,00635;1731490869,811;5;0,57;2,85;0;0;0
202;60,68;1,0113333333;1731490870,109;5;0,58;2,9;0;0;0
203;60,981;1,01635;1731490870,405;5;0,58;2,9;0;0;0
204;61,281;1,02135;1731490870,71;5;0,58;2,9;0;0;0
205;61,58;1,0263333333;1731490871,007;5;0,57;2,85;0;0;0
206;61,881;1,03135;1731490871,307;5;0,57;2,85;0;0;0
207;62,18;1,0363333333;1731490871,607;5;0,58;2,9;0;0;0
208;62,48;1,0413333333;1731490871,907;5;0,57;2,85;0;0;0
209;62,78;1,0463333333;1731490872,21;5;0,57;2,85;0;0;0
210;63,081;1,05135;1731490872,511;5;0,58;2,9;0;0;0
211;63,381;1,05635;1731490872,811;5;0,57;2,85;0;0;0
212;63,681;1,06135;1731490873,107;5;0,58;2,9;0;0;0
213;63,981;1,06635;1731490873,407;5;0,57;2,85;0;0;0
214;64,281;1,07135;1731490873,708;5;0,58;2,9;0;0;0
215;64,58;1,0763333333;1731490874,009;5;0,58;2,9;0;0;0
216;64,88;1,0813333333;1731490874,312;5;0,58;2,9;0;0;0
217;65,18;1,0863333333;1731490874,606;5;0,58;2,9;0;0;0
218;65,481;1,09135;1731490874,908;5;0,57;2,85;0;0;0
219;65,782;1,0963666667;1731490875,209;5;0,58;2,9;0;0;0
220;66,081;1,10135;1731490875,511;5;0,57;2,85;0;0;0
221;66,381;1,10635;1731490875,81;5;0,57;2,85;0;0;0
222;66,681;1,11135;1731490876,109;5;0,58;2,9;0;0;0
223;66,981;1,11635;1731490876,411;5;0,57;2,85;0;0;0
224;67,284;1,1214;1731490876,714;5;0,57;2,85;0;0;0
225;67,58;1,1263333333;1731490877,009;5;0,57;2,85;0;0;0
226;67,881;1,13135;1731490877,311;5;0,44;2,2;0;0;0
227;68,181;1,13635;1731490877,61;5;0,44;2,2;0;0;0
228;68,481;1,14135;1731490877,908;5;0,44;2,2;0;0;0
229;68,781;1,14635;1731490878,21;5;0,44;2,2;0;0;0
230;69,084;1,1514;1731490878,513;5;0,44;2,2;0;0;0
231;69,381;1,15635;1731490878,813;5;0,44;2,2;0;0;0
232;69,681;1,16135;1731490879,113;5;0,44;2,2;0;0;0
233;69,981;1,16635;1731490879,412;5;0,44;2,2;0;0;0
234;70,28;1,1713333333;1731490879,711;5;0,44;2,2;0;0;0
235;70,581;1,17635;1731490880,011;5;0,44;2,2;0;0;0
236;70,894;1,1815666667;1731490880,324;5;0,44;2,2;0;0;0
237;71,182;1,1863666667;1731490880,611;5;0,44;2,2;0;0;0
238;71,486;1,1914333333;1731490880,915;5;0,44;2,2;0;0;0
239;71,78;1,1963333333;1731490881,209;5;0,44;2,2;0;0;0
240;72,081;1,20135;1731490881,51;5;0,44;2,2;0;0;0
241;72,381;1,20635;1731490881,812;5;0,44;2,2;0;0;0
242;72,681;1,21135;1731490882,113;5;0,44;2,2;0;0;0
243;72,994;1,2165666667;1731490882,425;5;0,44;2,2;0;0;0
244;73,281;1,22135;1731490882,709;5;0,44;2,2;0;0;0
245;73,581;1,22635;1731490883,013;5;0,44;2,2;0;0;0
246;73,886;1,2314333333;1731490883,316;5;0,44;2,2;0;0;0
247;74,181;1,23635;1731490883,615;5;0,4;2;0;0;0
248;74,489;1,2414833333;1731490883,919;5;0,36;1,8;0;0;0
249;74,794;1,2465666667;1731490884,224;5;0,36;1,8;0;0;0
250;75,084;1,2514;1731490884,512;5;0,36;1,8;0;0;0
251;75,394;1,2565666667;1731490884,826;5;0,36;1,8;0;0;0
252;75,68;1,2613333333;1731490885,11;5;0,36;1,8;0;0;0
253;75,981;1,26635;1731490885,412;5;0,36;1,8;0;0;0
254;76,281;1,27135;1731490885,711;5;0,36;1,8;0;0;0
255;76,587;1,27645;1731490886,014;5;0,36;1,8;0;0;0
256;76,887;1,28145;1731490886,314;5;0,36;1,8;0;0;0
257;77,18;1,2863333333;1731490886,609;5;0,36;1,8;0;0;0
258;77,48;1,2913333333;1731490886,908;5;0,36;1,8;0;0;0
259;77,78;1,2963333333;1731490887,207;5;0,36;1,8;0;0;0
260;78,08;1,3013333333;1731490887,507;5;0,57;2,85;0;0;0
261;78,381;1,30635;1731490887,809;5;0,57;2,85;0;0;0
262;78,681;1,31135;1731490888,11;5;0,57;2,85;0;0;0
263;78,981;1,31635;1731490888,409;5;0,57;2,85;0;0;0
264;79,28;1,3213333333;1731490888,707;5;0,57;2,85;0;0;0
265;79,58;1,3263333333;1731490889,011;5;0,57;2,85;0;0;0
266;79,892;1,3315333333;1731490889,32;5;0,57;2,85;0;0;0
267;80,194;1,3365666667;1731490889,622;5;0,57;2,85;0;0;0
268;80,488;1,3414666667;1731490889,915;5;0,57;2,85;0;0;0
269;80,781;1,34635;1731490890,208;5;0,57;2,85;0;0;0
270;81,08;1,3513333333;1731490890,511;5;0,57;2,85;0;0;0
271;81,381;1,35635;1731490890,812;5;0,57;2,85;0;0;0
272;81,68;1,3613333333;1731490891,112;5;0,57;2,85;0;0;0
273;81,98;1,3663333333;1731490891,407;5;0,57;2,85;0;0;0
274;82,281;1,37135;1731490891,711;5;0,57;2,85;0;0;0
275;82,58;1,3763333333;1731490892,012;5;0,57;2,85;0;0;0
276;82,886;1,3814333333;1731490892,314;5;0,57;2,85;0;0;0
277;83,181;1,38635;1731490892,611;5;0,58;2,9;0;0;0
278;83,486;1,3914333333;1731490892,917;5;0,57;2,85;0;0;0
279;83,781;1,39635;1731490893,211;5;0,57;2,85;0;0;0
280;84,08;1,4013333333;1731490893,51;5;0,57;2,85;0;0;0
281;84,386;1,4064333333;1731490893,816;5;0,57;2,85;0;0;0
282;84,681;1,41135;1731490894,109;5;0,57;2,85;0;0;0
283;84,981;1,41635;1731490894,413;5;0,57;2,85;0;0;0
284;85,28;1,4213333333;1731490894,71;5;0,57;2,85;0;0;0
285;85,581;1,42635;1731490895,013;5;0,57;2,85;0;0;0
286;85,881;1,43135;1731490895,314;5;0,57;2,85;0;0;0
287;86,181;1,43635;1731490895,613;5;0,58;2,9;0;0;0
288;86,481;1,44135;1731490895,913;5;0,58;2,9;0;0;0
289;86,78;1,4463333333;1731490896,214;5;0,57;2,85;0;0;0
290;87,081;1,45135;1731490896,511;5;0,57;2,85;0;0;0
291;87,38;1,4563333333;1731490896,812;5;0,58;2,9;0;0;0
292;87,681;1,46135;1731490897,112;5;0,57;2,85;0;0;0
293;87,98;1,4663333333;1731490897,41;5;0,57;2,85;0;0;0
294;88,281;1,47135;1731490897,713;5;0,57;2,85;0;0;0
295;88,581;1,47635;1731490898,011;5;0,57;2,85;0;0;0
296;88,88;1,4813333333;1731490898,312;5;0,57;2,85;0;0;0
297;89,181;1,48635;1731490898,609;5;0,58;2,9;0;0;0
298;89,481;1,49135;1731490898,91;5;0,57;2,85;0;0;0
299;89,781;1,49635;1731490899,207;5;0,57;2,85;0;0;0
300;90,08;1,5013333333;1731490899,511;5;0,57;2,85;0;0;0
301;90,395;1,5065833333;1731490899,825;5;0,58;2,9;0;0;0
302;90,681;1,51135;1731490900,11;5;0,57;2,85;0;0;0
303;90,993;1,51655;1731490900,421;5;0,57;2,85;0;0;0
304;91,28;1,5213333333;1731490900,712;5;0,57;2,85;0;0;0
305;91,58;1,5263333333;1731490901,012;5;0,58;2,9;0;0;0
306;91,881;1,53135;1731490901,311;5;0,44;2,2;0;0;0
